Pais;Region;Casos totales;Fallecimientos;Recuperados;Casos activos;Casos cerrados;Fecha
Jamaica;Total;63;4;10;49;14;2020-04-09 11:46:00
Barbados;Total;63;3;8;52;11;2020-04-09 11:46:00
Mali;Total;59;7;16;36;23;2020-04-09 11:46:00
Ethiopia;Total;56;2;4;50;6;2020-04-09 11:46:00
Uganda;Total;53;0;0;53;0;2020-04-09 11:46:00
French Polynesia;Total;51;0;0;51;0;2020-04-09 11:46:00
Congo;Total;45;5;2;38;7;2020-04-09 11:46:00
Cayman Islands;Total;45;1;6;38;7;2020-04-09 11:46:00
Macao;Total;45;0;10;35;10;2020-04-09 11:46:00
Sint Maarten;Total;43;6;1;36;7;2020-04-09 11:46:00
Bahamas;Total;40;7;5;28;12;2020-04-09 11:46:00
Bermuda;Total;39;3;23;13;26;2020-04-09 11:46:00
Zambia;Total;39;1;7;31;8;2020-04-09 11:46:00
Guyana;Total;37;6;8;23;14;2020-04-09 11:46:00
Gabon;Total;34;1;1;32;2;2020-04-09 11:46:00
Eritrea;Total;33;0;0;33;0;2020-04-09 11:46:00
Guinea-Bissau;Total;33;0;0;33;0;2020-04-09 11:46:00
Saint Martin;Total;32;2;7;23;9;2020-04-09 11:46:00
Liberia;Total;31;4;3;24;7;2020-04-09 11:46:00
Haiti;Total;27;1;0;26;1;2020-04-09 11:46:00
Benin;Total;26;1;5;20;6;2020-04-09 11:46:00
Tanzania;Total;25;1;5;19;6;2020-04-09 11:46:00
Myanmar;Total;22;3;1;18;4;2020-04-09 11:46:00
Libya;Total;21;1;8;12;9;2020-04-09 11:46:00
Angola;Total;19;2;2;15;4;2020-04-09 11:46:00
Antigua and Barbuda;Total;19;2;0;17;2;2020-04-09 11:46:00
Syria;Total;19;2;4;13;6;2020-04-09 11:46:00
Maldives;Total;19;0;13;6;13;2020-04-09 11:46:00
Equatorial Guinea;Total;18;0;3;15;3;2020-04-09 11:46:00
New Caledonia;Total;18;0;1;17;1;2020-04-09 11:46:00
Mozambique;Total;17;0;1;16;1;2020-04-09 11:46:00
Laos;Total;16;0;0;16;0;2020-04-09 11:46:00
Mongolia;Total;16;0;4;12;4;2020-04-09 11:46:00
Namibia;Total;16;0;3;13;3;2020-04-09 11:46:00
Dominica;Total;15;0;1;14;1;2020-04-09 11:46:00
Fiji;Total;15;0;0;15;0;2020-04-09 11:46:00
Sudan;Total;14;2;2;10;4;2020-04-09 11:46:00
Curaçao;Total;14;1;7;6;8;2020-04-09 11:46:00
Saint Lucia;Total;14;0;1;13;1;2020-04-09 11:46:00
Botswana;Total;13;1;0;12;1;2020-04-09 11:46:00
Somalia;Total;12;1;1;10;2;2020-04-09 11:46:00
Grenada;Total;12;0;0;12;0;2020-04-09 11:46:00
Eswatini;Total;12;0;7;5;7;2020-04-09 11:46:00
Zimbabwe;Total;11;3;0;8;3;2020-04-09 11:46:00
Greenland;Total;11;0;11;0;11;2020-04-09 11:46:00
Saint Kitts and Nevis;Total;11;0;0;11;0;2020-04-09 11:46:00
Seychelles;Total;11;0;0;11;0;2020-04-09 11:46:00
Suriname;Total;10;1;4;5;5;2020-04-09 11:46:00
Chad;Total;10;0;2;8;2;2020-04-09 11:46:00
MS Zaandam;Total;9;2;0;7;2;2020-04-09 11:46:00
Nepal;Total;9;0;1;8;1;2020-04-09 11:46:00
Montserrat;Total;9;0;0;9;0;2020-04-09 11:46:00
Belize;Total;8;1;0;7;1;2020-04-09 11:46:00
Malawi;Total;8;1;0;7;1;2020-04-09 11:46:00
Turks and Caicos;Total;8;1;0;7;1;2020-04-09 11:46:00
CAR;Total;8;0;0;8;0;2020-04-09 11:46:00
Vatican City;Total;8;0;2;6;2;2020-04-09 11:46:00
St. Vincent Grenadines;Total;8;0;1;7;1;2020-04-09 11:46:00
Cabo Verde;Total;7;1;1;5;2;2020-04-09 11:46:00
Sierra Leone;Total;7;0;0;7;0;2020-04-09 11:46:00
Mauritania;Total;6;1;2;3;3;2020-04-09 11:46:00
Nicaragua;Total;6;1;0;5;1;2020-04-09 11:46:00
St. Barth;Total;6;0;1;5;1;2020-04-09 11:46:00
Bhutan;Total;5;0;2;3;2;2020-04-09 11:46:00
Falkland Islands;Total;5;0;1;4;1;2020-04-09 11:46:00
Gambia;Total;4;1;2;1;3;2020-04-09 11:46:00
Sao Tome and Principe;Total;4;0;0;4;0;2020-04-09 11:46:00
Western Sahara;Total;4;0;0;4;0;2020-04-09 11:46:00
Anguilla;Total;3;0;0;3;0;2020-04-09 11:46:00
British Virgin Islands;Total;3;0;0;3;0;2020-04-09 11:46:00
Burundi;Total;3;0;0;3;0;2020-04-09 11:46:00
Caribbean Netherlands;Total;2;0;0;2;0;2020-04-09 11:46:00
Papua New Guinea;Total;2;0;0;2;0;2020-04-09 11:46:00
South Sudan;Total;2;0;0;2;0;2020-04-09 11:46:00
Saint Pierre Miquelon;Total;1;0;0;1;0;2020-04-09 11:46:00
Timor-Leste;Total;1;0;0;1;0;2020-04-09 11:46:00
China;Total;81865;3335;77370;1160;80705;2020-04-09 11:46:00
