Pais;Region;Casos totales;Fallecimientos;Recuperados;Casos activos;Casos cerrados;Fecha
Guatemala;Total;50;1;12;37;13;04/04/2020
Djibouti;Total;50;0;8;42;8;04/04/2020
Uganda;Total;48;0;0;48;0;04/04/2020
Macao;Total;43;0;10;33;10;04/04/2020
Togo;Total;40;3;17;20;20;04/04/2020
Mali;Total;39;3;0;36;3;04/04/2020
Zambia;Total;39;1;2;36;3;04/04/2020
French Polynesia;Total;39;0;0;39;0;04/04/2020
Ethiopia;Total;38;0;4;34;4;04/04/2020
Bermuda;Total;35;0;14;21;14;04/04/2020
Cayman Islands;Total;29;1;1;27;2;04/04/2020
Bahamas;Total;24;3;0;21;3;04/04/2020
Guyana;Total;23;4;0;19;4;04/04/2020
Sint Maarten;Total;23;4;6;13;10;04/04/2020
Congo;Total;22;2;2;18;4;04/04/2020
Saint Martin;Total;22;1;2;19;3;04/04/2020
Eritrea;Total;22;0;0;22;0;04/04/2020
Gabon;Total;21;1;1;19;2;04/04/2020
Myanmar;Total;20;1;0;19;1;04/04/2020
Tanzania;Total;20;1;3;16;4;04/04/2020
Maldives;Total;19;0;13;6;13;04/04/2020
Haiti;Total;18;0;1;17;1;04/04/2020
New Caledonia;Total;18;0;1;17;1;04/04/2020
Libya;Total;17;1;0;16;1;04/04/2020
Syria;Total;16;2;2;12;4;04/04/2020
Benin;Total;16;0;2;14;2;04/04/2020
Equatorial Guinea;Total;16;0;1;15;1;04/04/2020
Antigua and Barbuda;Total;15;0;0;15;0;04/04/2020
Guinea-Bissau;Total;15;0;0;15;0;04/04/2020
Dominica;Total;14;0;0;14;0;04/04/2020
Mongolia;Total;14;0;2;12;2;04/04/2020
Namibia;Total;14;0;3;11;3;04/04/2020
Saint Lucia;Total;13;0;1;12;1;04/04/2020
Fiji;Total;12;0;0;12;0;04/04/2020
Grenada;Total;12;0;0;12;0;04/04/2020
Curaçao;Total;11;1;3;7;4;04/04/2020
Sudan;Total;10;2;2;6;4;04/04/2020
Suriname;Total;10;1;0;9;1;04/04/2020
Greenland;Total;10;0;3;7;3;04/04/2020
Laos;Total;10;0;0;10;0;04/04/2020
Mozambique;Total;10;0;0;10;0;04/04/2020
Seychelles;Total;10;0;0;10;0;04/04/2020
MS Zaandam;Total;9;2;0;7;2;04/04/2020
Zimbabwe;Total;9;1;0;8;1;04/04/2020
Nepal;Total;9;0;1;8;1;04/04/2020
Chad;Total;9;0;0;9;0;04/04/2020
Saint Kitts and Nevis;Total;9;0;0;9;0;04/04/2020
Eswatini;Total;9;0;0;9;0;04/04/2020
Angola;Total;8;2;1;5;3;04/04/2020
CAR;Total;8;0;0;8;0;04/04/2020
Cabo Verde;Total;7;1;0;6;1;04/04/2020
Vatican City;Total;7;0;0;7;0;04/04/2020
Liberia;Total;7;0;0;7;0;04/04/2020
St. Vincent Grenadines;Total;7;0;1;6;1;04/04/2020
Somalia;Total;7;0;1;6;1;04/04/2020
Mauritania;Total;6;1;2;3;3;04/04/2020
Montserrat;Total;6;0;0;6;0;04/04/2020
St. Barth;Total;6;0;1;5;1;04/04/2020
Nicaragua;Total;5;1;0;4;1;04/04/2020
Bhutan;Total;5;0;2;3;2;04/04/2020
Turks and Caicos;Total;5;0;0;5;0;04/04/2020
Botswana;Total;4;1;0;3;1;04/04/2020
Gambia;Total;4;1;2;1;3;04/04/2020
